task_id,env,seed,n_evals,best_during_training,end_of_training,mean_over_training
0,sawyer_hammer,5,159,1.0,1.0,0.829559748427673
0,sawyer_hammer,6,159,1.0,1.0,0.9088050314465409
0,sawyer_hammer,7,159,1.0,0.6,0.8603773584905661
1,sawyer_push_wall,5,159,1.0,0.8,0.8251572327044027
1,sawyer_push_wall,6,159,1.0,0.7,0.6836477987421383
1,sawyer_push_wall,7,159,1.0,0.6,0.5389937106918239
2,sawyer_faucet_close,5,159,0.6,0.1,0.2553459119496856
2,sawyer_faucet_close,6,159,0.9,0.2,0.3547169811320755
2,sawyer_faucet_close,7,159,0.7,0.2,0.3358490566037736
3,sawyer_push_back,5,159,1.0,1.0,0.6635220125786164
3,sawyer_push_back,6,159,1.0,0.9,0.4578616352201258
3,sawyer_push_back,7,159,1.0,0.9,0.7025157232704403
4,sawyer_stick_pull,5,159,1.0,0.3,0.5358490566037735
4,sawyer_stick_pull,6,159,1.0,0.7,0.5094339622641509
4,sawyer_stick_pull,7,159,1.0,0.3,0.41132075471698115
5,sawyer_handle_press_side,5,159,0.2,0.0,0.013207547169811321
5,sawyer_handle_press_side,6,159,0.1,0.0,0.0031446540880503146
5,sawyer_handle_press_side,7,159,0.2,0.0,0.006289308176100629
6,sawyer_push,5,159,1.0,0.1,0.36352201257861644
6,sawyer_push,6,159,1.0,0.0,0.2754716981132076
6,sawyer_push,7,159,1.0,0.6,0.39371069182389945
7,sawyer_shelf_place,5,159,0.9,0.6,0.3534591194968554
7,sawyer_shelf_place,6,159,1.0,0.5,0.5540880503144654
7,sawyer_shelf_place,7,159,0.9,0.7,0.12830188679245283
8,sawyer_window_close,5,159,0.3,0.0,0.04779874213836478
8,sawyer_window_close,6,159,0.5,0.0,0.04465408805031446
8,sawyer_window_close,7,159,0.5,0.0,0.042767295597484274
9,sawyer_peg_unplug_side,5,159,0.7,0.5,0.24088050314465412
9,sawyer_peg_unplug_side,6,159,0.6,0.4,0.21194968553459118
9,sawyer_peg_unplug_side,7,159,0.8,0.1,0.2603773584905661
