task_id,env,seed,n,L_dyn_init,L_dyn_final,L_dyn_max,L_dyn_min,drop_ratio
0,sawyer_hammer,5,500,0.00040057870210148395,0.0001427989569492638,0.0008168009226210415,0.0001064364769263193,2.8051934738137394
0,sawyer_hammer,6,500,0.00047090795123949647,0.00014513484784401954,0.0008573938393965364,0.00010884018411161378,3.2446235913348276
0,sawyer_hammer,7,500,0.00033670917619019745,9.984098724089563e-05,0.000619445345364511,6.455180118791759e-05,3.3724543946844987
1,sawyer_push_wall,5,500,0.00010245217272313312,0.00011081338889198377,0.00013671413762494922,6.478949217125773e-05,0.9245468778416224
1,sawyer_push_wall,6,500,9.270653390558437e-05,0.00010221757838735357,0.0001681488793110475,5.948050966253504e-05,0.9069529465301253
1,sawyer_push_wall,7,500,6.0992183716734874e-05,0.0001270288659725338,0.0001928755664266646,5.272207272355445e-05,0.4801442825595452
2,sawyer_faucet_close,5,500,6.156435774755664e-05,0.0001332092680968344,0.0001906457036966458,4.8353616875829175e-05,0.4621627205608801
2,sawyer_faucet_close,6,500,9.702738025225699e-05,0.00015204665833152832,0.00019478463218547404,7.919206836959347e-05,0.6381421421357041
2,sawyer_faucet_close,7,500,9.74312613834627e-05,0.00012705012923106552,0.00019330746727064252,6.771656626369804e-05,0.7668725877977257
3,sawyer_push_back,5,500,0.00010039758926723152,8.153604139806702e-05,0.00011354998423485085,4.242369323037565e-05,1.2313277361244528
3,sawyer_push_back,6,500,9.068104409379885e-05,7.469388074241579e-05,0.00013251023483462632,2.8836850106017664e-05,1.214035784357159
3,sawyer_push_back,7,500,7.452482241205871e-05,8.23359951027669e-05,0.0002640338207129389,4.5905453589512035e-05,0.9051305242505571
4,sawyer_stick_pull,5,500,9.059415897354484e-05,0.0001048458376317285,0.00014815959730185568,6.194460729602724e-05,0.8640701530923646
4,sawyer_stick_pull,6,500,0.00010085543472087011,0.0001150147058069706,0.00014170118083711714,5.715029692510143e-05,0.8768916462746597
4,sawyer_stick_pull,7,500,7.722444861428812e-05,0.0001019629737129435,0.00014570262283086777,6.346462032524869e-05,0.7573773675108596
5,sawyer_handle_press_side,5,500,7.468709081877023e-05,5.505900189746171e-05,0.00013088469859212637,2.4124288756866008e-05,1.35649191312735
5,sawyer_handle_press_side,6,500,9.063018005690537e-05,0.00010228633473161609,0.00016882288036867976,5.7700086472323164e-05,0.8860438717909416
5,sawyer_handle_press_side,7,500,9.010593494167552e-05,6.295528874034062e-05,0.00016124622197821736,5.9526289987843484e-05,1.431268710613303
6,sawyer_push,5,500,0.00019553456077119334,9.426133765373379e-05,0.0005214120028540492,6.148222018964589e-05,2.0743877143933998
6,sawyer_push,6,500,9.280040831072256e-05,9.118432499235495e-05,0.00015328713925555348,5.257962766336277e-05,1.0177232580106625
6,sawyer_push,7,500,0.0001767957321135327,0.00010947884584311396,0.00021574637503363192,7.657565583940595e-05,1.6148848734383408
7,sawyer_shelf_place,5,500,5.893410925636999e-05,0.00010300446447217838,0.00022138892381917685,5.034375863033347e-05,0.572151018486079
7,sawyer_shelf_place,6,500,9.689264261396602e-05,0.00010571759339654818,0.00015500553126912564,6.713444599881768e-05,0.9165233477319177
7,sawyer_shelf_place,7,500,8.846879500197246e-05,0.00012350963661447167,0.000251232908340171,7.652811473235488e-05,0.7162906266020586
