task_id,env,seed,state,eval_mean_success,evaluator_success_rate,eval_this_env,L_dyn_start,L_dyn_mid,L_dyn_end
0,sawyer_hammer,5,finished,0.9,1.0,0.9,0.0008168009226210415,0.0001416213344782591,0.0001355034182779491
0,sawyer_hammer,6,finished,0.8,0.9,0.8,0.0008573938393965364,0.00012523654731921852,0.00016087449330370873
0,sawyer_hammer,7,finished,1.0,0.8,1.0,0.000619445345364511,0.00013143349497113377,0.00010245639714412391
1,sawyer_push_wall,5,finished,0.2,0.0,0.4,6.478949217125773e-05,9.979180322261527e-05,0.00011222778994124383
1,sawyer_push_wall,6,finished,0.5,1.0,1.0,6.478560680989176e-05,7.82479255576618e-05,9.547411173116416e-05
1,sawyer_push_wall,7,finished,0.7,0.9,1.0,5.8652316511143e-05,9.287123975809664e-05,0.00012683913519140333
2,sawyer_faucet_close,5,finished,0.13333333333333333,0.5,0.4,4.8353616875829175e-05,0.00014723249478265643,0.00013771570229437202
2,sawyer_faucet_close,6,finished,0.4,0.4,0.6,7.919206836959347e-05,0.0001638199610169977,0.00015535509737674147
2,sawyer_faucet_close,7,finished,0.16666666666666666,0.1,0.5,6.771656626369804e-05,0.0001425612426828593,0.0001260343415196985
3,sawyer_push_back,5,finished,0.275,1.0,0.6,8.726063970243558e-05,8.303897629957646e-05,8.286503725685179e-05
3,sawyer_push_back,6,finished,0.175,0.3,0.2,5.9954109019599855e-05,8.281289774458855e-05,7.470023410860449e-05
3,sawyer_push_back,7,finished,0.275,1.0,0.9,6.718238000757992e-05,8.214572153519839e-05,8.272827108157799e-05
4,sawyer_stick_pull,5,finished,0.02,0.7,0.1,6.194460729602724e-05,0.00013637065421789885,0.00010020262561738491
4,sawyer_stick_pull,6,finished,0.1,0.3,0.3,9.459901775699109e-05,0.00011188804637640715,0.00011493846250232309
4,sawyer_stick_pull,7,finished,0.12,0.3,0.6,9.39215169637464e-05,0.00010985773405991495,0.00015471040387637913
5,sawyer_handle_press_side,5,finished,0.0,0.0,0.0,7.186169386841357e-05,3.0511779186781496e-05,6.099768870626576e-05
5,sawyer_handle_press_side,6,finished,0.016666666666666666,0.1,0.0,5.7700086472323164e-05,9.650813444750383e-05,0.00010910326091106981
5,sawyer_handle_press_side,7,finished,0.0,0.1,0.0,6.010146898915991e-05,0.00010482202924322337,6.765692523913458e-05
6,sawyer_push,5,finished,0.08571428571428572,0.5,0.6,0.0005214120028540492,6.416489486582577e-05,9.239561768481508e-05
6,sawyer_push,6,finished,0.05714285714285715,0.1,0.4,7.210319745354354e-05,9.005573519971222e-05,0.00010467792162671685
6,sawyer_push,7,finished,0.05714285714285715,0.2,0.4,0.00014242526958696544,8.861024980433285e-05,0.00010506664693821222
7,sawyer_shelf_place,5,finished,0.0625,0.2,0.1,5.127330950926989e-05,0.00012000171409454197,0.00010179100354434922
7,sawyer_shelf_place,6,finished,0.1125,0.5,0.3,7.412885315716267e-05,9.425360622117296e-05,0.00011234511475777254
7,sawyer_shelf_place,7,finished,0.2625,0.9,0.5,7.652811473235488e-05,0.00014523189747706056,0.00012474728282541037
