_step,evaluator/env_steps,evaluator/success_rate,run_id,seed,alpha
64350,50100,0.1,ofzrndo9,7,0.0
114300,100200,0.0,ofzrndo9,7,0.0
164850,150300,0.0,ofzrndo9,7,0.0
214800,200400,0.0,ofzrndo9,7,0.0
266550,250500,0.1,ofzrndo9,7,0.0
316350,300600,0.1,ofzrndo9,7,0.0
365550,350700,0.0,ofzrndo9,7,0.0
415350,400800,0.2,ofzrndo9,7,0.0
466500,450900,0.1,ofzrndo9,7,0.0
515400,501000,0.0,ofzrndo9,7,0.0
565200,551100,0.1,ofzrndo9,7,0.0
616050,601200,0.1,ofzrndo9,7,0.0
666450,651300,0.0,ofzrndo9,7,0.0
716400,701400,0.0,ofzrndo9,7,0.0
767400,751500,0.0,ofzrndo9,7,0.0
816300,801600,0.3,ofzrndo9,7,0.0
866550,851700,0.1,ofzrndo9,7,0.0
916200,901800,0.2,ofzrndo9,7,0.0
966300,951900,0.1,ofzrndo9,7,0.0
66750,50100,0.0,x3243e9i,5,0.0
116100,100200,0.4,x3243e9i,5,0.0
166050,150300,0.0,x3243e9i,5,0.0
217050,200400,0.1,x3243e9i,5,0.0
266400,250500,0.1,x3243e9i,5,0.0
315750,300600,0.4,x3243e9i,5,0.0
366750,350700,0.2,x3243e9i,5,0.0
415800,400800,0.0,x3243e9i,5,0.0
467550,450900,0.0,x3243e9i,5,0.0
516000,501000,0.0,x3243e9i,5,0.0
566250,551100,0.0,x3243e9i,5,0.0
616350,601200,0.3,x3243e9i,5,0.0
666750,651300,0.1,x3243e9i,5,0.0
716400,701400,0.2,x3243e9i,5,0.0
767550,751500,0.0,x3243e9i,5,0.0
816750,801600,0.2,x3243e9i,5,0.0
868200,851700,0.0,x3243e9i,5,0.0
917700,901800,0.1,x3243e9i,5,0.0
967950,951900,0.0,x3243e9i,5,0.0
64350,50100,0.2,z8ajsuvz,6,0.0
114300,100200,0.0,z8ajsuvz,6,0.0
164850,150300,0.0,z8ajsuvz,6,0.0
216600,200400,0.1,z8ajsuvz,6,0.0
267150,250500,0.0,z8ajsuvz,6,0.0
316200,300600,0.1,z8ajsuvz,6,0.0
367200,350700,0.0,z8ajsuvz,6,0.0
416100,400800,0.0,z8ajsuvz,6,0.0
467400,450900,0.0,z8ajsuvz,6,0.0
515850,501000,0.0,z8ajsuvz,6,0.0
565950,551100,0.0,z8ajsuvz,6,0.0
615750,601200,0.2,z8ajsuvz,6,0.0
667500,651300,0.0,z8ajsuvz,6,0.0
717600,701400,0.0,z8ajsuvz,6,0.0
767700,751500,0.0,z8ajsuvz,6,0.0
816300,801600,0.0,z8ajsuvz,6,0.0
865950,851700,0.0,z8ajsuvz,6,0.0
918000,901800,0.1,z8ajsuvz,6,0.0
968250,951900,0.1,z8ajsuvz,6,0.0
64500,50100,0.0,z096oju3,5,0.25
114750,100200,0.1,z096oju3,5,0.25
165000,150300,0.2,z096oju3,5,0.25
216300,200400,0.1,z096oju3,5,0.25
265950,250500,0.1,z096oju3,5,0.25
315450,300600,0.6,z096oju3,5,0.25
365400,350700,0.2,z096oju3,5,0.25
417450,400800,0.1,z096oju3,5,0.25
466500,450900,0.1,z096oju3,5,0.25
517650,501000,0.0,z096oju3,5,0.25
566550,551100,0.5,z096oju3,5,0.25
616350,601200,0.4,z096oju3,5,0.25
666750,651300,0.1,z096oju3,5,0.25
717600,701400,0.1,z096oju3,5,0.25
765600,751500,0.3,z096oju3,5,0.25
818250,801600,0.3,z096oju3,5,0.25
866700,851700,0.2,z096oju3,5,0.25
917550,901800,0.3,z096oju3,5,0.25
966000,951900,0.1,z096oju3,5,0.25
64950,50100,0.1,blc5muho,7,0.25
116400,100200,0.0,blc5muho,7,0.25
164850,150300,0.0,blc5muho,7,0.25
214950,200400,0.0,blc5muho,7,0.25
266250,250500,0.0,blc5muho,7,0.25
316200,300600,0.0,blc5muho,7,0.25
365700,350700,0.0,blc5muho,7,0.25
414900,400800,0.0,blc5muho,7,0.25
467250,450900,0.1,blc5muho,7,0.25
516900,501000,0.0,blc5muho,7,0.25
566100,551100,0.1,blc5muho,7,0.25
