panel,env,env_steps,sigma_s,t_frac,contact_mean,contact_se,rel_delta_mean,rel_delta_se,delta_f_mean,delta_f_se,epsilon,survival_rel,survival_rel_lo,survival_rel_hi,survival_rel_gauss010,survival_rel_gauss025
A,sawyer_handle_press_side,100200,52.823174160306955,0.03333333333333333,0.15,0.017853571071357124,0.15827941113172236,0.0030759416899116625,8.360820900201798,0.16248100359315265,,,,,,
A,sawyer_handle_press_side,100200,52.823174160306955,0.1,0.3075,0.02307291431527452,0.14880647369919833,0.002662621956179647,7.86043027639389,0.14064814331433467,,,,,,
A,sawyer_handle_press_side,100200,52.823174160306955,0.16666666666666669,0.2375,0.021277555663186502,0.15720295384837424,0.0031877047802223147,8.30395900964737,0.16838468477732635,,,,,,
A,sawyer_handle_press_side,100200,52.823174160306955,0.23333333333333334,0.2625,0.02199964488349755,0.15737024389967885,0.00332192050410322,8.31279580116272,0.17547438533493906,,,,,,
A,sawyer_handle_press_side,100200,52.823174160306955,0.3,0.1825,0.019312803395675107,0.1650766468268403,0.003822864561185112,8.719872465133667,0.20193584050674657,,,,,,
A,sawyer_handle_press_side,100200,52.823174160306955,0.3666666666666667,0.16,0.01833030277982336,0.1641541615668584,0.003662280146119254,8.671143865585327,0.1934532619822918,,,,,,
A,sawyer_handle_press_side,100200,52.823174160306955,0.43333333333333335,0.1625,0.01844544320421713,0.15444202584045055,0.002797106312580426,8.158118028640747,0.14775203389432984,,,,,,
A,sawyer_handle_press_side,100200,52.823174160306955,0.5,0.15,0.017853571071357124,0.15786636323931433,0.003072476594088694,8.33900239944458,0.16229796623301385,,,,,,
A,sawyer_handle_press_side,100200,52.823174160306955,0.5666666666666667,0.1575,0.018213576666871338,0.16567112272496806,0.00359359903445612,8.751274569034576,0.18982530765938654,,,,,,
A,sawyer_handle_press_side,100200,52.823174160306955,0.6333333333333333,0.1325,0.01695167764559013,0.16390663909647507,0.003482175402281571,8.658068943023682,0.18393955773145637,,,,,,
