cell,group,actor_mode,critic_mode,avg_best_success,avg_end_success,avg_mean_success_during_training,avg_auc_success,avg_stability,n_task_seed_pairs,n_seeds,seeds,forward_transfer_mean,forward_transfer_sem,forward_transfer_n_pairs,crashed_or_missing_cells
actor=cka-critic=cka,for_real,cka,cka,0.8676470588235294,0.5852941176470587,0.46109877913429526,0.4616902457185406,0.6069444444444444,34,5,"97,98,99,100,101",-0.07628865979381443,0.020188820646975403,97,16
actor=cka-critic=cka,real1,cka,cka,0.7974358974358974,0.4384615384615384,0.4025641025641026,0.40319701395650764,0.45690883190883186,39,5,"97,98,99,100,101",-0.07628865979381443,0.020188820646975403,97,11
actor=cka-critic=cka,real2,cka,cka,0.7769230769230769,0.45128205128205134,0.3875665215287856,0.3881613112625771,0.47290394790394785,39,5,"97,98,99,100,101",-0.07628865979381443,0.020188820646975403,97,11
actor=cka-critic=persistent,for_real,cka,persistent,0.8857142857142858,0.55,0.5166891284815812,0.5175971971066907,0.5932539682539683,28,5,"97,98,99,100,101",-0.07802197802197802,0.022742503913475567,91,22
actor=cka-critic=persistent,real1,cka,persistent,0.8024390243902438,0.4707317073170732,0.3859641049240681,0.3864387156529793,0.5003290747193186,41,5,"97,98,99,100,101",-0.07802197802197802,0.022742503913475567,91,9
actor=cka-critic=persistent,real2,cka,persistent,0.7282051282051282,0.4692307692307692,0.3885502338332527,0.3892323920804933,0.4940679690679691,39,5,"97,98,99,100,101",-0.07802197802197802,0.022742503913475567,91,11
actor=cka-critic=reset,for_real,cka,reset,0.9147058823529413,0.6323529411764706,0.5449685534591194,0.5459326135517496,0.6468954248366012,34,5,"97,98,99,100,101",-0.012499999999999999,0.011158400218864776,104,16
actor=cka-critic=reset,real1,cka,reset,0.8395833333333332,0.4791666666666667,0.43105345911949683,0.43161919831223633,0.4887896825396825,48,5,"97,98,99,100,101",-0.012499999999999999,0.011158400218864776,104,2
actor=cka-critic=reset,real2,cka,reset,0.8256410256410257,0.4923076923076924,0.4456539267860023,0.4463810451152224,0.5051994301994303,39,5,"97,98,99,100,101",-0.012499999999999999,0.011158400218864776,104,11
actor=persistent-critic=cka,for_real,persistent,cka,0.782608695652174,0.4760869565217391,0.41702214930270715,0.4176940011007154,0.5196428571428571,46,5,"97,98,99,100,101",-0.07804878048780488,0.026483357664664184,41,4
actor=persistent-critic=persistent,for_real,persistent,persistent,0.8086956521739131,0.458695652173913,0.4009433962264151,0.40173362685745734,0.47569875776397513,46,5,"97,98,99,100,101",-0.04878048780487805,0.02752425786410346,41,4
actor=persistent-critic=reset,for_real,persistent,reset,0.8456521739130435,0.4934782608695652,0.4678835110746513,0.46881535498073745,0.509903381642512,46,5,"97,98,99,100,101",-0.007317073170731706,0.011785814076438602,41,4
actor=reset-critic=cka,for_real,reset,cka,0.8399999999999999,0.46399999999999997,0.4458993710691824,0.4466898734177216,0.4757222222222222,50,5,"97,98,99,100,101",0.004878048780487805,0.013503034668942837,41,0
actor=reset-critic=persistent,for_real,reset,persistent,0.7934782608695652,0.46304347826086967,0.4124965818977303,0.4133392955421024,0.4761387163561077,46,5,"97,98,99,100,101",-0.06585365853658537,0.024596687288738945,41,4
actor=reset-critic=reset,for_real,reset,reset,0.8521739130434783,0.5000000000000001,0.4544298605414274,0.4554416620803522,0.5143115942028985,46,5,"97,98,99,100,101",0.0,0.0,41,4
