group,actor_mode,critic_mode,seed,task_idx,env,run_id,n_evals,best_success,end_success,mean_success_during_training,auc_success,stability,cell
c2_decomposed,reset,decomposed,5,0,sawyer_hammer,2t9lwiy8,159.0,1.0,1.0,0.7974842767295597,0.7962025316455696,1.0,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,5,1,sawyer_push_wall,allszom8,159.0,1.0,0.0,0.6176100628930817,0.6215189873417721,0.0,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,5,2,sawyer_faucet_close,w6hfssc3,159.0,0.9,0.5,0.35911949685534594,0.3579113924050633,0.5555555555555556,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,5,3,sawyer_push_back,nnejz0jj,159.0,1.0,1.0,0.8773584905660378,0.879746835443038,1.0,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,5,4,sawyer_stick_pull,bjye5f07,159.0,1.0,0.7,0.49245283018867925,0.49335443037974686,0.7,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,5,5,sawyer_handle_press_side,j4xzz4nu,159.0,0.3,0.0,0.037106918238993716,0.03734177215189873,0.0,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,5,6,sawyer_push,qyx35wl8,159.0,1.0,0.5,0.5962264150943395,0.5984177215189873,0.5,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,5,7,sawyer_shelf_place,c4hz7huh,159.0,0.9,0.2,0.39182389937106926,0.39367088607594936,0.22222222222222224,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,5,8,sawyer_window_close,d6koytzu,159.0,0.6,0.1,0.15723270440251572,0.1579113924050633,0.16666666666666669,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,5,9,sawyer_peg_unplug_side,su9l5jwj,159.0,0.9,0.5,0.28742138364779873,0.2870253164556962,0.5555555555555556,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,0,sawyer_hammer,x02zwqnm,159.0,1.0,0.9,0.9465408805031447,0.9465189873417722,0.9,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,1,sawyer_push_wall,wme6ymj0,159.0,1.0,1.0,0.7748427672955976,0.7765822784810127,1.0,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,2,sawyer_faucet_close,h88lbvr7,159.0,0.8,0.4,0.34716981132075475,0.3468354430379747,0.5,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,3,sawyer_push_back,edtd2z0y,159.0,1.0,0.3,0.8169811320754717,0.8212025316455697,0.3,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,4,sawyer_stick_pull,qm0ffn03,159.0,1.0,0.3,0.5163522012578617,0.5186708860759494,0.3,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,5,sawyer_handle_press_side,pjnb9mw4,159.0,0.4,0.1,0.07547169811320754,0.07531645569620253,0.25,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,6,sawyer_push,x7qkfxkx,159.0,1.0,0.1,0.40817610062893084,0.41012658227848103,0.1,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,7,sawyer_shelf_place,a467mc8p,159.0,1.0,0.5,0.36415094339622633,0.364873417721519,0.5,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,8,sawyer_window_close,rdrlqt4i,159.0,0.7,0.1,0.17044025157232706,0.17120253164556962,0.14285714285714288,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,6,9,sawyer_peg_unplug_side,4382dyxe,159.0,0.7,0.6,0.30000000000000004,0.3,0.8571428571428572,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,7,0,sawyer_hammer,8zy0ejgo,159.0,1.0,0.8,0.9408805031446542,0.9414556962025317,0.8,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,7,1,sawyer_push_wall,xpfy5oky,159.0,1.0,0.9,0.8534591194968553,0.8560126582278481,0.9,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,7,2,sawyer_faucet_close,nylxrxg1,159.0,0.9,0.1,0.3761006289308176,0.37816455696202533,0.11111111111111112,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,7,3,sawyer_push_back,hqszk4jg,159.0,1.0,1.0,0.6836477987421384,0.6848101265822785,1.0,actor=reset-critic=decomposed
c2_decomposed,reset,decomposed,7,4,sawyer_stick_pull,9u0it71p,159.0,1.0,0.3,0.6012578616352201,0.6041139240506329,0.3,actor=reset-critic=decomposed
