actor_mode,critic_mode,step_penalty_reward,task_id,env,seed,run_id,best_success,end_success
persistent,persistent,True,0,hammer,1,60f9zvxk,1.0,0.0
persistent,persistent,True,0,hammer,2,1tzoqudb,1.0,0.9
persistent,persistent,True,0,hammer,3,yx97xl9d,1.0,0.8
persistent,persistent,True,1,push-wall,1,qvwh92de,0.0,0.0
persistent,persistent,True,1,push-wall,2,v2m987du,0.4,0.0
persistent,persistent,True,1,push-wall,3,y0g2bgov,0.0,0.0
persistent,persistent,True,2,faucet-close,1,8ks4592v,0.7,0.2
persistent,persistent,True,2,faucet-close,2,ajrq9hn8,0.9,0.7
persistent,persistent,True,2,faucet-close,3,c6zkjxdc,0.8,0.5
persistent,persistent,True,3,push-back,1,bdyul2lx,0.0,0.0
persistent,persistent,True,3,push-back,2,09ey3asv,0.0,0.0
persistent,persistent,True,3,push-back,3,p8t789p8,0.0,0.0
persistent,persistent,True,4,stick-pull,1,w0hobhb6,1.0,0.0
persistent,persistent,True,4,stick-pull,2,skpzsp4d,1.0,0.0
persistent,persistent,True,4,stick-pull,3,mibsb17c,0.0,0.0
persistent,persistent,True,5,handle-press-side,1,bp681rv6,0.6,0.1
persistent,persistent,True,5,handle-press-side,2,7fxzddxd,0.4,0.0
persistent,persistent,True,5,handle-press-side,3,vbcuj11c,0.5,0.0
persistent,persistent,True,6,push,1,i7w66g1d,0.1,0.1
persistent,persistent,True,6,push,2,9u77ersy,0.1,0.0
persistent,persistent,True,6,push,3,sqwfnj3i,0.7,0.4
persistent,persistent,True,7,shelf-place,1,70z0b2lc,0.0,0.0
persistent,persistent,True,7,shelf-place,2,5lzpejyh,0.0,0.0
persistent,persistent,True,7,shelf-place,3,8urnde2c,0.0,0.0
persistent,persistent,True,8,window-close,1,zmnbkt6q,0.8,0.6
persistent,persistent,True,8,window-close,2,t5sz2lz5,0.8,0.5
persistent,persistent,True,8,window-close,3,lnukux7v,0.8,0.2
persistent,persistent,True,9,peg-unplug-side,1,3w6bwsib,0.2,0.0
persistent,persistent,True,9,peg-unplug-side,2,tnfywgjy,0.2,0.1
persistent,persistent,True,9,peg-unplug-side,3,dx3s03i0,0.1,0.0
reset,reset,True,0,hammer,1,ngnyhft0,1.0,0.7
reset,reset,True,0,hammer,2,130nx8uo,1.0,0.7
reset,reset,True,0,hammer,3,3i4ivb81,1.0,0.3
reset,reset,True,1,push-wall,1,0m34zhe7,0.0,0.0
reset,reset,True,1,push-wall,2,kqo5em2r,0.0,0.0
reset,reset,True,1,push-wall,3,1x7mlpyc,0.0,0.0
reset,reset,True,2,faucet-close,1,dvsbjzei,0.9,0.5
reset,reset,True,2,faucet-close,2,21rmx84j,0.7,0.3
reset,reset,True,2,faucet-close,3,m4s0kc85,0.5,0.2
reset,reset,True,3,push-back,1,wp3tpjb8,0.0,0.0
reset,reset,True,3,push-back,2,wygc715q,0.0,0.0
reset,reset,True,3,push-back,3,4gjm7u7s,0.0,0.0
reset,reset,True,4,stick-pull,1,tcchktqb,1.0,0.0
reset,reset,True,4,stick-pull,2,0s7tqfz7,1.0,1.0
reset,reset,True,4,stick-pull,3,u8obx98k,1.0,1.0
reset,reset,True,5,handle-press-side,1,3epn3zsm,0.6,0.1
reset,reset,True,5,handle-press-side,2,9sakof60,0.5,0.0
reset,reset,True,5,handle-press-side,3,rjdxgxdc,0.5,0.0
reset,reset,True,6,push,1,jzfksukl,0.1,0.0
reset,reset,True,6,push,2,qrjenmju,0.1,0.0
reset,reset,True,6,push,3,z1vh9fpn,0.0,0.0
reset,reset,True,7,shelf-place,1,4sxs9bu0,0.0,0.0
reset,reset,True,7,shelf-place,2,d9b46bux,0.0,0.0
reset,reset,True,7,shelf-place,3,1uziuplt,0.0,0.0
reset,reset,True,8,window-close,1,a3kt4bjw,0.8,0.6
reset,reset,True,8,window-close,2,a8buithd,0.8,0.5
reset,reset,True,8,window-close,3,6z9n26d4,0.8,0.2
reset,reset,True,9,peg-unplug-side,1,synalwec,0.1,0.0
reset,reset,True,9,peg-unplug-side,2,if39bb8x,0.1,0.0
reset,reset,True,9,peg-unplug-side,3,1vvival2,0.0,0.0
