actor_mode,critic_mode,step_penalty_reward,task_id,env,best_success_mean,best_success_std,n_seeds,best_success_sem
persistent,persistent,True,0,hammer,1.0000,0.0000,3,0.0000
persistent,persistent,True,1,push-wall,0.1333,0.2309,3,0.1333
persistent,persistent,True,2,faucet-close,0.8000,0.1000,3,0.0577
persistent,persistent,True,3,push-back,0.0000,0.0000,3,0.0000
persistent,persistent,True,4,stick-pull,0.6667,0.5774,3,0.3333
persistent,persistent,True,5,handle-press-side,0.5000,0.1000,3,0.0577
persistent,persistent,True,6,push,0.3000,0.3464,3,0.2000
persistent,persistent,True,7,shelf-place,0.0000,0.0000,3,0.0000
persistent,persistent,True,8,window-close,0.8000,0.0000,3,0.0000
persistent,persistent,True,9,peg-unplug-side,0.1667,0.0577,3,0.0333
reset,reset,True,0,hammer,1.0000,0.0000,3,0.0000
reset,reset,True,1,push-wall,0.0000,0.0000,3,0.0000
reset,reset,True,2,faucet-close,0.7000,0.2000,3,0.1155
reset,reset,True,3,push-back,0.0000,0.0000,3,0.0000
reset,reset,True,4,stick-pull,1.0000,0.0000,3,0.0000
reset,reset,True,5,handle-press-side,0.5333,0.0577,3,0.0333
reset,reset,True,6,push,0.0667,0.0577,3,0.0333
reset,reset,True,7,shelf-place,0.0000,0.0000,3,0.0000
reset,reset,True,8,window-close,0.8000,0.0000,3,0.0000
reset,reset,True,9,peg-unplug-side,0.0667,0.0577,3,0.0333
