run_id,run_name,group,state,task_idx,env,actor_mode,critic_mode,seed,env_name,use_task_id,adapt_heads_only,encoder_from_base,k_max,k_sample_k,intra_eval_previous_tasks,dyn_aux_weight,phi_task_width,phi_task_depth,created_at,evaluator_success_rate_summary,evaluator_mean_return_summary
2t9lwiy8,task0_sawyer_hammer_s5,c2_decomposed,finished,0,sawyer_hammer,reset,decomposed,5,sawyer_hammer,False,True,False,10,0,False,,,,2026-05-10T13:47:06Z,1.0,89.7
8zy0ejgo,task0_sawyer_hammer_s7,c2_decomposed,finished,0,sawyer_hammer,reset,decomposed,7,sawyer_hammer,False,True,False,10,0,False,,,,2026-05-10T13:47:06Z,0.8,38.7
x02zwqnm,task0_sawyer_hammer_s6,c2_decomposed,finished,0,sawyer_hammer,reset,decomposed,6,sawyer_hammer,False,True,False,10,0,False,,,,2026-05-10T13:47:07Z,0.9,47.6
allszom8,task1_sawyer_push_wall_s5,c2_decomposed,finished,1,sawyer_push_wall,reset,decomposed,5,sawyer_push_wall,False,True,False,10,0,False,,,,2026-05-10T19:57:18Z,0.0,0.0
wme6ymj0,task1_sawyer_push_wall_s6,c2_decomposed,finished,1,sawyer_push_wall,reset,decomposed,6,sawyer_push_wall,False,True,False,10,0,False,,,,2026-05-10T19:57:26Z,1.0,56.2
xpfy5oky,task1_sawyer_push_wall_s7,c2_decomposed,finished,1,sawyer_push_wall,reset,decomposed,7,sawyer_push_wall,False,True,False,10,0,False,,,,2026-05-10T19:59:42Z,0.9,40.3
w6hfssc3,task2_sawyer_faucet_close_s5,c2_decomposed,finished,2,sawyer_faucet_close,reset,decomposed,5,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-05-11T01:51:36Z,0.5,22.9
h88lbvr7,task2_sawyer_faucet_close_s6,c2_decomposed,finished,2,sawyer_faucet_close,reset,decomposed,6,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-05-11T01:54:31Z,0.4,22.2
nylxrxg1,task2_sawyer_faucet_close_s7,c2_decomposed,finished,2,sawyer_faucet_close,reset,decomposed,7,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-05-11T01:58:11Z,0.1,0.4
edtd2z0y,task3_sawyer_push_back_s6,c2_decomposed,finished,3,sawyer_push_back,reset,decomposed,6,sawyer_push_back,False,True,False,10,0,False,,,,2026-05-11T07:42:13Z,0.3,4.7
nnejz0jj,task3_sawyer_push_back_s5,c2_decomposed,finished,3,sawyer_push_back,reset,decomposed,5,sawyer_push_back,False,True,False,10,0,False,,,,2026-05-11T07:47:29Z,1.0,33.9
hqszk4jg,task3_sawyer_push_back_s7,c2_decomposed,finished,3,sawyer_push_back,reset,decomposed,7,sawyer_push_back,False,True,False,10,0,False,,,,2026-05-11T07:48:54Z,1.0,56.8
qm0ffn03,task4_sawyer_stick_pull_s6,c2_decomposed,finished,4,sawyer_stick_pull,reset,decomposed,6,sawyer_stick_pull,False,True,False,10,0,False,,,,2026-05-11T13:31:10Z,0.3,6.7
9u0it71p,task4_sawyer_stick_pull_s7,c2_decomposed,finished,4,sawyer_stick_pull,reset,decomposed,7,sawyer_stick_pull,False,True,False,10,0,False,,,,2026-05-11T13:44:51Z,0.3,2.0
bjye5f07,task4_sawyer_stick_pull_s5,c2_decomposed,finished,4,sawyer_stick_pull,reset,decomposed,5,sawyer_stick_pull,False,True,False,10,0,False,,,,2026-05-11T13:47:51Z,0.7,35.3
pjnb9mw4,task5_sawyer_handle_press_side_s6,c2_decomposed,finished,5,sawyer_handle_press_side,reset,decomposed,6,sawyer_handle_press_side,False,True,False,10,0,False,,,,2026-05-11T19:39:39Z,0.1,12.5
ayfdahh6,task5_sawyer_handle_press_side_s7,c2_decomposed,finished,5,sawyer_handle_press_side,reset,decomposed,7,sawyer_handle_press_side,False,True,False,10,0,False,,,,2026-05-11T19:56:07Z,0.1,12.7
j4xzz4nu,task5_sawyer_handle_press_side_s5,c2_decomposed,finished,5,sawyer_handle_press_side,reset,decomposed,5,sawyer_handle_press_side,False,True,False,10,0,False,,,,2026-05-11T19:56:36Z,0.0,0.0
x7qkfxkx,task6_sawyer_push_s6,c2_decomposed,finished,6,sawyer_push,reset,decomposed,6,sawyer_push,False,True,False,10,0,False,,,,2026-05-12T01:21:04Z,0.1,4.6
qyx35wl8,task6_sawyer_push_s5,c2_decomposed,finished,6,sawyer_push,reset,decomposed,5,sawyer_push,False,True,False,10,0,False,,,,2026-05-12T01:45:37Z,0.5,3.1
wlus3sde,task6_sawyer_push_s7,c2_decomposed,finished,6,sawyer_push,reset,decomposed,7,sawyer_push,False,True,False,10,0,False,,,,2026-05-12T01:46:34Z,0.2,3.1
a467mc8p,task7_sawyer_shelf_place_s6,c2_decomposed,finished,7,sawyer_shelf_place,reset,decomposed,6,sawyer_shelf_place,False,True,False,10,0,False,,,,2026-05-12T07:12:20Z,0.5,23.9
fz7nq09v,task7_sawyer_shelf_place_s7,c2_decomposed,finished,7,sawyer_shelf_place,reset,decomposed,7,sawyer_shelf_place,False,True,False,10,0,False,,,,2026-05-12T07:42:43Z,0.9,43.1
c4hz7huh,task7_sawyer_shelf_place_s5,c2_decomposed,finished,7,sawyer_shelf_place,reset,decomposed,5,sawyer_shelf_place,False,True,False,10,0,False,,,,2026-05-12T07:44:40Z,0.2,9.5
d6koytzu,task8_sawyer_window_close_s5,c2_decomposed,finished,8,sawyer_window_close,reset,decomposed,5,sawyer_window_close,False,True,False,10,0,False,,,,2026-05-14T07:08:34Z,0.1,4.2
eu8mvhjc,task8_sawyer_window_close_s7,c2_decomposed,finished,8,sawyer_window_close,reset,decomposed,7,sawyer_window_close,False,True,False,10,0,False,,,,2026-05-14T07:08:34Z,0.0,0.0
rdrlqt4i,task8_sawyer_window_close_s6,c2_decomposed,finished,8,sawyer_window_close,reset,decomposed,6,sawyer_window_close,False,True,False,10,0,False,,,,2026-05-14T07:08:34Z,0.1,6.2
tylehwx6,task9_sawyer_peg_unplug_side_s7,c2_decomposed,finished,9,sawyer_peg_unplug_side,reset,decomposed,7,sawyer_peg_unplug_side,False,True,False,10,0,False,,,,2026-05-14T12:56:15Z,0.4,1.8
4382dyxe,task9_sawyer_peg_unplug_side_s6,c2_decomposed,finished,9,sawyer_peg_unplug_side,reset,decomposed,6,sawyer_peg_unplug_side,False,True,False,10,0,False,,,,2026-05-14T12:59:43Z,0.6,6.6
su9l5jwj,task9_sawyer_peg_unplug_side_s5,c2_decomposed,finished,9,sawyer_peg_unplug_side,reset,decomposed,5,sawyer_peg_unplug_side,False,True,False,10,0,False,,,,2026-05-14T13:00:22Z,0.5,9.9
