run_id,run_name,group,state,task_idx,env,actor_mode,critic_mode,seed,env_name,use_task_id,adapt_heads_only,encoder_from_base,k_max,k_sample_k,intra_eval_previous_tasks,dyn_aux_weight,phi_task_width,phi_task_depth,created_at,evaluator_success_rate_summary,evaluator_mean_return_summary
aqwfutyc,task0_sawyer_hammer_s98,real1,finished,0,sawyer_hammer,cka,reset,98,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:00:03Z,0.8,44.0
pdycbmt9,task0_sawyer_hammer_s99,real1,finished,0,sawyer_hammer,cka,reset,99,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:00:03Z,1.0,75.0
u7sar3kn,task0_sawyer_hammer_s97,real1,finished,0,sawyer_hammer,cka,reset,97,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:00:03Z,0.7,50.7
izq4d3xx,task0_sawyer_hammer_s98,real1,finished,0,sawyer_hammer,cka,persistent,98,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:00:06Z,0.5,40.1
srrst8ca,task0_sawyer_hammer_s97,real1,finished,0,sawyer_hammer,cka,persistent,97,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:00:07Z,0.9,67.4
vzo9zzkn,task0_sawyer_hammer_s99,real1,finished,0,sawyer_hammer,cka,persistent,99,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:00:07Z,1.0,67.3
0nn9kycu,task0_sawyer_hammer_s98,real1,finished,0,sawyer_hammer,cka,cka,98,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:01:59Z,1.0,76.8
n1nau63s,task0_sawyer_hammer_s97,real1,finished,0,sawyer_hammer,cka,cka,97,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:01:59Z,0.9,71.5
ugy4vs4y,task0_sawyer_hammer_s99,real1,finished,0,sawyer_hammer,cka,cka,99,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:01:59Z,0.7,58.8
52rol8mn,task0_sawyer_hammer_s97,real1,finished,0,sawyer_hammer,cka,reset,97,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:03:14Z,0.9,56.2
94gv42ei,task0_sawyer_hammer_s99,real1,finished,0,sawyer_hammer,cka,reset,99,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:03:14Z,0.9,58.2
rfh8b511,task0_sawyer_hammer_s98,real1,finished,0,sawyer_hammer,cka,reset,98,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:03:15Z,1.0,83.4
76qmbz5o,task0_sawyer_hammer_s98,real1,finished,0,sawyer_hammer,cka,persistent,98,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:04:57Z,1.0,81.0
8atoqcye,task0_sawyer_hammer_s97,real1,finished,0,sawyer_hammer,cka,persistent,97,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:04:58Z,0.9,56.8
e585rnyl,task0_sawyer_hammer_s99,real1,finished,0,sawyer_hammer,cka,persistent,99,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:04:58Z,1.0,81.3
56aesjo1,task0_sawyer_hammer_s100,real1,finished,0,sawyer_hammer,cka,reset,100,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:11:04Z,1.0,95.4
g9332571,task0_sawyer_hammer_s101,real1,finished,0,sawyer_hammer,cka,reset,101,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:11:04Z,1.0,87.7
i4js3xk3,task0_sawyer_hammer_s101,real1,finished,0,sawyer_hammer,cka,persistent,101,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:11:04Z,1.0,78.6
kro2s93j,task0_sawyer_hammer_s100,real1,finished,0,sawyer_hammer,cka,persistent,100,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:11:04Z,1.0,82.9
nlsmr7oh,task0_sawyer_hammer_s101,real1,finished,0,sawyer_hammer,cka,cka,101,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:11:16Z,0.8,50.6
um30ycdr,task0_sawyer_hammer_s100,real1,finished,0,sawyer_hammer,cka,cka,100,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:11:16Z,1.0,73.9
