figure,series,env_steps,n_hover,press_minus_pi,press_rank,grad_cos,std_a,std_s,std_a_over_std_s,panel,feature,accuracy_drop,baseline_accuracy,n_pairs,delta_mm,success,her_succ,her_prog,her_succ_or_prog
state_vs_action,Handle 100k,100200,113,-0.1304658282119616,16.41592920353982,-0.2068626868739124,1.8271640533894564,24.226963450940186,0.07541861600152262,,,,,,,,,,
state_vs_action,Handle 952k,951900,32,0.3809514045715332,3.03125,0.2890915518084507,2.1690703965723515,46.60676117792478,0.046539822586935765,,,,,,,,,,
state_vs_action,Push 250k,250500,320,2.03742316365242,1.0375,0.8552120676754633,3.0677368111908434,1.573355451595541,1.9498053081888769,,,,,,,,,,
feature_shuffle,Handle 100k,,,,,,,,,drop,mech_xy,0.171875,0.1875,256.0,,,,,
feature_shuffle,Handle 100k,,,,,,,,,drop,mech_z,0.02734375,0.1875,256.0,,,,,
feature_shuffle,Handle 100k,,,,,,,,,drop,hand,0.05078125,0.1875,256.0,,,,,
feature_shuffle,Handle 100k,,,,,,,,,drop,action,0.015625,0.1875,256.0,,,,,
feature_shuffle,Push 250k,,,,,,,,,drop,mech_xy,0.19921875,0.203125,256.0,,,,,
feature_shuffle,Push 250k,,,,,,,,,drop,mech_z,0.0234375,0.203125,256.0,,,,,
feature_shuffle,Push 250k,,,,,,,,,drop,hand,0.1875,0.203125,256.0,,,,,
feature_shuffle,Push 250k,,,,,,,,,drop,action,0.03125,0.203125,256.0,,,,,
feature_shuffle,Handle 100k,,,,,,,,,one_step_mm,d_xy_pi,,,,0.0,,,,
feature_shuffle,Handle 100k,,,,,,,,,one_step_mm,d_xy_press,,,,0.0,,,,
feature_shuffle,Handle 100k,,,,,,,,,one_step_mm,d_z_pi,,,,2.5906463464101157,,,,
feature_shuffle,Handle 100k,,,,,,,,,one_step_mm,d_z_press,,,,2.5945532446106276,,,,
feature_shuffle,Push 250k,,,,,,,,,one_step_mm,d_xy_pi,,,,4.6660632817842425,,,,
feature_shuffle,Push 250k,,,,,,,,,one_step_mm,d_xy_press,,,,4.741088569299261,,,,
feature_shuffle,Push 250k,,,,,,,,,one_step_mm,d_z_pi,,,,0.37148680227498215,,,,
feature_shuffle,Push 250k,,,,,,,,,one_step_mm,d_z_press,,,,0.375461687023441,,,,
inject,handle,50100,,,,,,,,eval,,,,,,0.0,,,
inject,handle,100200,,,,,,,,eval,,,,,,0.0,,,
inject,handle,150300,,,,,,,,eval,,,,,,0.2,,,
inject,handle,200400,,,,,,,,eval,,,,,,0.1,,,
inject,handle,250500,,,,,,,,eval,,,,,,0.1,,,
inject,handle,300600,,,,,,,,eval,,,,,,0.2,,,
